Kingdom,Phylum,C1,C2,C3,F1,F2,F3,D1,D2,D3,0036.1,0036.2,0036.3,1887.1,1887.2,1887.3,G1,G2,G3,R1,R2,R3,S1,S2,S3
Archaea,__Euryarchaeota,0.00%,0.11%,0.12%,0.05%,0.11%,0.08%,0.03%,0.02%,0.06%,0.03%,0.05%,0.04%,0.02%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Archaea,__Thaumarchaeota,0.01%,0.02%,0.02%,0.00%,0.02%,0.01%,0.01%,0.02%,0.01%,0.04%,0.00%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bacteria,__Acidobacteria,3.25%,3.25%,2.29%,2.67%,2.54%,2.70%,2.35%,2.48%,2.72%,2.43%,2.03%,2.68%,2.40%,2.90%,2.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.23%,0.12%
Bacteria,__Actinobacteria,1.08%,1.83%,1.70%,1.95%,1.55%,2.50%,1.60%,2.15%,1.66%,1.61%,1.34%,1.16%,0.94%,1.35%,1.22%,0.00%,0.00%,0.59%,0.00%,0.00%,0.00%,0.82%,0.54%,1.43%
Bacteria,__Armatimonadetes,0.40%,0.40%,0.52%,0.40%,0.42%,0.39%,0.54%,0.57%,0.33%,0.36%,0.49%,0.34%,0.26%,0.40%,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bacteria,__Bacteroidetes,17.63%,15.50%,15.28%,17.73%,18.01%,14.09%,14.86%,16.47%,16.75%,19.39%,18.26%,18.35%,18.53%,16.02%,15.76%,4.87%,4.41%,2.98%,10.15%,7.19%,10.10%,12.63%,2.95%,1.88%
Bacteria,__Balneolaeota,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bacteria,__Candidatus Melainabacteria,0.17%,0.13%,0.18%,0.18%,0.18%,0.09%,0.16%,0.12%,0.15%,0.13%,0.09%,0.10%,0.13%,0.24%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bacteria,__Chlamydiae,0.44%,0.38%,0.46%,0.50%,0.76%,0.90%,0.51%,0.95%,0.36%,0.53%,0.75%,0.67%,0.29%,0.38%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.05%,0.25%
Bacteria,__Chloroflexi,4.83%,9.05%,7.55%,6.72%,6.08%,7.57%,7.36%,6.11%,6.79%,5.26%,5.97%,6.29%,5.26%,5.77%,5.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.28%,0.11%,0.01%
Bacteria,__Cyanobacteria,0.05%,0.05%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.16%,0.24%,0.19%,0.00%,0.00%,0.00%,38.93%,71.26%,53.27%
Bacteria,__Deinococcus-Thermus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.26%,0.03%,0.06%
Bacteria,__Fibrobacteres,0.03%,0.12%,0.09%,0.05%,0.06%,0.05%,0.00%,0.00%,0.02%,0.03%,0.02%,0.01%,0.03%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bacteria,__Firmicutes,1.66%,4.76%,2.91%,4.74%,3.32%,4.00%,1.94%,3.83%,2.25%,1.65%,2.05%,1.25%,1.38%,1.72%,1.08%,78.78%,78.30%,75.21%,66.79%,79.29%,67.20%,13.62%,2.48%,9.39%
Bacteria,__Gemmatimonadetes,0.92%,0.99%,0.43%,0.55%,0.55%,0.51%,0.62%,0.52%,0.64%,0.66%,0.42%,0.75%,0.60%,0.70%,0.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.24%,0.19%
Bacteria,__Ignavibacteriae,0.52%,0.54%,0.76%,0.62%,0.88%,0.78%,0.66%,0.76%,0.72%,0.70%,0.85%,0.47%,0.39%,0.39%,0.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bacteria,__Kiritimatiellaeota,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bacteria,__Nitrospirae,0.76%,0.53%,0.46%,0.50%,0.53%,0.45%,0.58%,0.51%,0.66%,0.40%,0.44%,0.60%,0.50%,0.54%,0.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%
Bacteria,__Planctomycetes,2.04%,2.48%,2.36%,2.61%,2.40%,2.12%,2.11%,2.33%,2.00%,1.49%,2.00%,1.71%,1.64%,1.81%,1.90%,2.16%,2.65%,2.55%,0.00%,0.00%,0.00%,1.31%,1.12%,1.46%
Bacteria,__Proteobacteria,28.25%,27.68%,32.98%,30.85%,32.09%,32.25%,34.98%,34.42%,32.86%,36.47%,35.24%,32.46%,34.55%,33.80%,32.76%,13.98%,14.39%,17.99%,19.22%,11.25%,18.76%,26.21%,11.73%,23.84%
Bacteria,__Rhodothermaeota,0.09%,0.40%,0.63%,0.40%,0.29%,0.34%,0.36%,0.38%,0.23%,0.16%,0.21%,0.07%,0.06%,0.09%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bacteria,__Spirochaetes,0.28%,0.20%,0.39%,0.23%,0.21%,0.24%,0.21%,0.61%,0.24%,0.23%,0.18%,0.29%,0.28%,0.17%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
Bacteria,__Verrucomicrobia,9.16%,7.38%,7.79%,7.39%,7.54%,6.75%,8.15%,7.21%,8.07%,7.98%,7.27%,10.12%,8.86%,9.96%,9.87%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,1.86%,1.07%,1.71%
__,__,28.43%,24.21%,23.08%,21.86%,22.47%,24.15%,22.94%,20.54%,23.49%,20.43%,22.33%,22.62%,23.85%,23.69%,25.89%,0.05%,0.00%,0.00%,3.83%,2.27%,3.92%,2.35%,8.18%,6.37%